Unnamed: 0,timeStamp,air_temp,relhum,windsp,winddir,precipitation,ghi,month,time_int,hour,date
62108,2015-10-24 00:00:00,16.34,56.56,1.18,51.0,0.0,0.0,10,0,0.0,2015-10-24
62109,2015-10-24 00:15:00,16.42,56.34,1.34,56.2,0.0,0.0,10,15,0.25,2015-10-24
62110,2015-10-24 00:30:00,16.68,54.12,1.68,25.4,0.0,0.0,10,30,0.5,2015-10-24
62111,2015-10-24 00:45:00,16.24,55.18,0.66,42.94,0.0,0.0,10,45,0.75,2015-10-24
62112,2015-10-24 01:00:00,15.3,58.82,0.88,67.8,0.0,0.0,10,0,1.0,2015-10-24
62113,2015-10-24 01:15:00,15.3,58.82,1.46,69.0,0.0,0.0,10,15,1.25,2015-10-24
62114,2015-10-24 01:30:00,15.3,57.94,1.62,27.4,0.0,0.0,10,30,1.5,2015-10-24
62115,2015-10-24 01:45:00,14.24,60.64,1.32,69.62,0.0,0.0,10,45,1.75,2015-10-24
62116,2015-10-24 02:00:00,14.36,62.2,1.28,75.01,0.0,0.0,10,0,2.0,2015-10-24
62117,2015-10-24 02:15:00,14.3,61.72,1.5,78.2,0.0,0.0,10,15,2.25,2015-10-24
62118,2015-10-24 02:30:00,15.48,55.96,1.1,37.4,0.0,0.0,10,30,2.5,2015-10-24
62119,2015-10-24 02:45:00,14.78,59.02,0.22,61.39,0.0,0.0,10,45,2.75,2015-10-24
62120,2015-10-24 03:00:00,15.1,55.38,0.42,329.2,0.0,0.0,10,0,3.0,2015-10-24
62121,2015-10-24 03:15:00,15.4,53.78,1.24,26.4,0.0,0.0,10,15,3.25,2015-10-24
62122,2015-10-24 03:30:00,14.54,57.74,0.96,69.11,0.0,0.0,10,30,3.5,2015-10-24
62123,2015-10-24 03:45:00,14.54,55.92,1.62,42.2,0.0,0.0,10,45,3.75,2015-10-24
62124,2015-10-24 04:00:00,14.8,54.56,1.6,48.19,0.0,0.0,10,0,4.0,2015-10-24
62125,2015-10-24 04:15:00,14.5,55.08,1.24,58.8,0.0,0.0,10,15,4.25,2015-10-24
62126,2015-10-24 04:30:00,13.68,60.12,0.58,142.2,0.0,0.0,10,30,4.5,2015-10-24
62127,2015-10-24 04:45:00,13.48,57.9,1.0,350.0,0.0,0.0,10,45,4.75,2015-10-24
62128,2015-10-24 05:00:00,14.5,54.0,1.34,31.83,0.0,0.0,10,0,5.0,2015-10-24
62129,2015-10-24 05:15:00,13.92,57.14,1.7,62.99,0.0,0.0,10,15,5.25,2015-10-24
62130,2015-10-24 05:30:00,13.96,56.26,1.58,55.19,0.0,0.0,10,30,5.5,2015-10-24
62131,2015-10-24 05:45:00,14.14,56.48,0.56,189.9,0.0,0.0,10,45,5.75,2015-10-24
62132,2015-10-24 06:00:00,13.7,56.46,0.88,40.22,0.0,0.0,10,0,6.0,2015-10-24
62133,2015-10-24 06:15:00,13.88,53.76,1.74,56.2,0.0,0.0,10,15,6.25,2015-10-24
62134,2015-10-24 06:30:00,13.5,58.16,1.22,67.6,0.0,0.0,10,30,6.5,2015-10-24
62135,2015-10-24 06:45:00,13.8,53.5,1.32,54.4,0.0,0.0,10,45,6.75,2015-10-24
62136,2015-10-24 07:00:00,13.8,53.82,1.76,52.6,0.0,0.0,10,0,7.0,2015-10-24
62137,2015-10-24 07:15:00,14.04,52.8,1.72,12.19,0.0,0.0,10,15,7.25,2015-10-24
62138,2015-10-24 07:30:00,14.6,50.24,1.4,27.39,0.0,4.44,10,30,7.5,2015-10-24
62139,2015-10-24 07:45:00,15.32,46.72,0.62,59.78,0.0,32.29,10,45,7.75,2015-10-24
62140,2015-10-24 08:00:00,14.48,53.52,0.62,88.4,0.0,48.78,10,0,8.0,2015-10-24
62141,2015-10-24 08:15:00,14.64,49.84,1.16,68.41,0.0,51.04,10,15,8.25,2015-10-24
62142,2015-10-24 08:30:00,15.6,46.86,0.4,165.9,0.0,130.5,10,30,8.5,2015-10-24
62143,2015-10-24 08:45:00,16.8,45.48,0.88,84.8,0.0,329.7,10,45,8.75,2015-10-24
