,site,generation,date,time,temp,dew_point,feels_like,temp_min,temp_max,humidity,wind_speed,rain_1h,snow_1h,clouds_all,weather_description,month,time_int
0,WEETWOOD_ALES,0.0,2021-01-27,00:00:00,4.9,4.61,4.9,4.13,7.83,98,1.03,0.0,0.0,100,overcast clouds,1,0.0
1,WEETWOOD_ALES,0.0,2021-01-27,01:00:00,5.63,5.04,2.06,3.58,8.74,96,5.14,0.0,0.0,100,overcast clouds,1,1.0
2,WEETWOOD_ALES,0.0,2021-01-27,02:00:00,6.29,5.7,2.46,4.13,8.74,96,6.2,0.0,0.0,100,overcast clouds,1,2.0
3,WEETWOOD_ALES,0.0,2021-01-27,03:00:00,5.83,5.24,3.11,4.19,8.74,96,3.6,0.0,0.0,100,overcast clouds,1,3.0
4,WEETWOOD_ALES,0.0,2021-01-27,04:00:00,5.57,4.98,1.74,2.67,8.74,96,5.7,0.0,0.0,100,overcast clouds,1,4.0
5,WEETWOOD_ALES,0.0,2021-01-27,05:00:00,5.41,4.82,2.03,3.23,8.74,96,4.63,0.0,0.0,100,overcast clouds,1,5.0
6,WEETWOOD_ALES,0.0,2021-01-27,06:00:00,5.66,5.52,3.23,3.7,8.7,99,3.1,0.0,0.0,100,overcast clouds,1,6.0
7,WEETWOOD_ALES,0.0,2021-01-27,07:00:00,6.14,5.25,2.27,4.25,8.74,94,6.2,0.0,0.0,100,overcast clouds,1,7.0
8,WEETWOOD_ALES,0.07425000000000001,2021-01-27,08:00:00,5.96,5.22,3.27,4.25,8.74,95,3.6,0.0,0.0,75,broken clouds,1,8.0
9,WEETWOOD_ALES,1.521369339879978,2021-01-27,09:00:00,6.29,5.55,3.99,4.25,8.74,95,3.1,0.0,0.0,75,broken clouds,1,9.0
10,WEETWOOD_ALES,5.84022816166884,2021-01-27,10:00:00,7.07,6.32,4.93,5.86,8.74,95,3.1,0.0,0.0,100,overcast clouds,1,10.0
11,WEETWOOD_ALES,5.962781271837876,2021-01-27,11:00:00,7.69,6.63,6.97,6.97,9.25,93,1.54,0.0,0.0,40,scattered clouds,1,11.0
12,WEETWOOD_ALES,8.716814882032669,2021-01-27,12:00:00,8.71,7.32,7.6,7.59,9.74,91,2.1,0.0,0.0,20,few clouds,1,12.0
13,WEETWOOD_ALES,4.153054511278196,2021-01-27,13:00:00,9.31,7.59,7.62,7.99,9.74,89,3.1,0.0,0.0,75,broken clouds,1,13.0
14,WEETWOOD_ALES,3.477477288609364,2021-01-27,14:00:00,9.33,7.61,7.96,8.55,10.46,89,2.6,0.0,0.0,75,broken clouds,1,14.0
15,WEETWOOD_ALES,2.569782608695652,2021-01-27,15:00:00,9.23,7.51,8.21,8.55,10.05,89,2.1,0.0,0.0,0,sky is clear,1,15.0
16,WEETWOOD_ALES,0.7364956521739131,2021-01-27,16:00:00,8.65,7.1,7.17,8.06,9.44,90,2.57,0.0,0.0,75,broken clouds,1,16.0
17,WEETWOOD_ALES,0.0,2021-01-27,17:00:00,7.59,6.53,6.3,6.81,8.7,93,2.1,0.0,0.0,20,few clouds,1,17.0
18,WEETWOOD_ALES,0.0,2021-01-27,18:00:00,7.02,6.28,4.87,5.91,8.06,95,3.1,0.0,0.0,40,scattered clouds,1,18.0
19,WEETWOOD_ALES,0.0,2021-01-27,19:00:00,6.79,6.2,4.28,6.01,7.99,96,3.6,0.0,0.0,20,few clouds,1,19.0
20,WEETWOOD_ALES,0.0,2021-01-27,20:00:00,7.05,6.46,4.32,5.51,7.78,96,4.12,0.3,0.0,75,light rain,1,20.0
21,WEETWOOD_ALES,0.0,2021-01-27,21:00:00,7.06,6.77,4.33,6.06,7.75,98,4.12,0.7,0.0,100,light rain,1,21.0
22,WEETWOOD_ALES,0.0,2021-01-27,22:00:00,7.12,6.83,4.15,6.36,7.78,98,4.63,1.12,0.0,100,moderate rain,1,22.0
23,WEETWOOD_ALES,0.0,2021-01-27,23:00:00,7.26,6.67,3.88,6.36,7.78,96,5.7,1.22,0.0,100,heavy intensity rain,1,23.0
24,WEETWOOD_ALES,0.0,2021-01-28,00:00:00,6.93,6.34,2.93,6.12,7.74,96,7.2,1.11,0.0,100,moderate rain,1,0.0
25,WEETWOOD_ALES,0.0,2021-01-28,01:00:00,6.71,6.42,3.18,6.12,7.22,98,5.7,1.21,0.0,100,moderate rain,1,1.0
26,WEETWOOD_ALES,0.0,2021-01-28,02:00:00,6.73,6.44,3.02,6.31,7.19,98,6.2,1.94,0.0,100,moderate rain,1,2.0
27,WEETWOOD_ALES,0.0,2021-01-28,03:00:00,6.73,6.44,3.67,6.36,7.22,98,4.63,2.63,0.0,100,heavy intensity rain,1,3.0
28,WEETWOOD_ALES,0.0,2021-01-28,04:00:00,6.75,6.6,3.71,6.31,7.22,99,4.6,2.62,0.0,100,light intensity drizzle,1,4.0
29,WEETWOOD_ALES,0.0,2021-01-28,05:00:00,6.97,6.53,3.98,5.8,7.78,97,4.6,1.75,0.0,100,moderate rain,1,5.0
30,WEETWOOD_ALES,0.0,2021-01-28,06:00:00,7.0,6.85,4.84,5.8,7.78,99,3.1,1.34,0.0,75,heavy intensity rain,1,6.0
31,WEETWOOD_ALES,0.0,2021-01-28,07:00:00,6.95,6.8,3.94,5.57,7.78,99,4.63,0.82,0.0,100,light rain,1,7.0
32,WEETWOOD_ALES,0.0,2021-01-28,08:00:00,7.11,6.96,4.39,5.57,8.14,99,4.12,0.28,0.0,100,light intensity drizzle,1,8.0
33,WEETWOOD_ALES,2.012692307692307,2021-01-28,09:00:00,7.19,7.04,5.83,5.8,8.79,99,2.1,0.0,0.0,100,overcast clouds,1,9.0
34,WEETWOOD_ALES,6.813620689655172,2021-01-28,10:00:00,8.45,8.0,6.59,6.36,10.56,97,3.1,0.0,0.0,100,overcast clouds,1,10.0
35,WEETWOOD_ALES,3.34812987012987,2021-01-28,11:00:00,9.92,8.84,7.44,7.21,11.11,93,5.14,0.0,0.0,100,overcast clouds,1,11.0
36,WEETWOOD_ALES,3.393132867132867,2021-01-28,12:00:00,10.16,8.26,9.53,9.06,11.17,88,6.69,0.0,0.0,100,overcast clouds,1,12.0
37,WEETWOOD_ALES,2.34125,2021-01-28,13:00:00,10.65,8.24,9.99,9.17,11.67,85,5.14,0.0,0.0,100,overcast clouds,1,13.0
38,WEETWOOD_ALES,5.34051724137931,2021-01-28,14:00:00,10.63,8.04,9.94,9.73,11.37,84,4.63,0.0,0.0,20,few clouds,1,14.0
39,WEETWOOD_ALES,1.6031461538461529,2021-01-28,15:00:00,11.14,8.19,10.45,9.73,11.84,82,6.17,0.0,0.0,20,few clouds,1,15.0
40,WEETWOOD_ALES,0.145089605734767,2021-01-28,16:00:00,10.59,8.18,9.92,9.73,11.08,85,4.63,0.25,0.0,20,light rain,1,16.0
41,WEETWOOD_ALES,0.0,2021-01-28,17:00:00,10.49,8.42,9.87,9.06,11.17,87,6.17,0.27,0.0,75,light rain,1,17.0
42,WEETWOOD_ALES,0.0,2021-01-28,18:00:00,9.92,8.68,8.36,9.45,10.6,92,3.1,0.44,0.0,100,light rain,1,18.0
43,WEETWOOD_ALES,0.0,2021-01-28,19:00:00,9.6,8.68,7.04,8.9,10.18,94,5.14,0.16,0.0,100,light intensity shower rain,1,19.0
44,WEETWOOD_ALES,0.0,2021-01-28,20:00:00,9.55,9.25,7.17,8.9,10.09,98,4.63,0.67,0.0,75,light rain,1,20.0
45,WEETWOOD_ALES,0.0,2021-01-28,21:00:00,9.57,8.96,6.8,9.06,9.9,96,5.7,1.84,0.0,100,moderate rain,1,21.0
46,WEETWOOD_ALES,0.0,2021-01-28,22:00:00,9.48,8.87,7.31,9.06,10.09,96,4.12,0.81,0.0,75,light rain,1,22.0
47,WEETWOOD_ALES,0.0,2021-01-28,23:00:00,9.67,8.75,7.55,8.7,10.27,94,4.1,0.24,0.0,75,light rain,1,23.0
48,WEETWOOD_ALES,0.0,2021-01-29,00:00:00,9.11,8.2,7.11,8.64,9.87,94,3.6,0.0,0.0,100,overcast clouds,1,0.0
49,WEETWOOD_ALES,0.0,2021-01-29,01:00:00,8.98,7.91,6.95,8.7,9.41,93,3.6,0.0,0.0,0,sky is clear,1,1.0
50,WEETWOOD_ALES,0.0,2021-01-29,02:00:00,8.14,6.76,5.66,7.73,9.17,91,4.12,0.0,0.0,20,few clouds,1,2.0
51,WEETWOOD_ALES,0.0,2021-01-29,03:00:00,7.65,6.43,4.81,6.91,8.38,92,4.63,0.0,0.0,75,broken clouds,1,3.0
52,WEETWOOD_ALES,0.0,2021-01-29,04:00:00,7.75,6.22,6.08,7.44,8.38,90,2.6,0.0,0.0,100,overcast clouds,1,4.0
53,WEETWOOD_ALES,0.0,2021-01-29,05:00:00,7.5,6.13,5.44,6.68,7.95,91,3.1,0.0,0.0,100,overcast clouds,1,5.0
54,WEETWOOD_ALES,0.0,2021-01-29,06:00:00,7.42,6.05,6.1,6.88,7.95,91,2.1,0.15,0.0,100,light rain,1,6.0
55,WEETWOOD_ALES,0.0,2021-01-29,07:00:00,6.94,6.04,5.54,6.68,7.83,94,2.1,0.19,0.0,100,light rain,1,7.0
56,WEETWOOD_ALES,0.5697727272727271,2021-01-29,08:00:00,6.84,5.94,5.0,6.33,7.6,94,2.6,0.17,0.0,75,light rain,1,8.0
57,WEETWOOD_ALES,1.057222222222222,2021-01-29,09:00:00,7.7,6.64,4.43,6.33,8.74,93,5.7,0.0,0.0,40,scattered clouds,1,9.0
58,WEETWOOD_ALES,3.714626262626263,2021-01-29,10:00:00,8.31,6.93,4.86,7.23,8.89,91,6.7,0.0,0.0,100,overcast clouds,1,10.0
59,WEETWOOD_ALES,6.901584996975197,2021-01-29,11:00:00,8.69,7.14,5.05,7.78,9.44,90,7.72,0.0,0.0,100,overcast clouds,1,11.0
60,WEETWOOD_ALES,14.790350877192981,2021-01-29,12:00:00,9.13,6.91,5.48,8.17,10.18,86,8.23,0.18,0.0,75,light rain,1,12.0
61,WEETWOOD_ALES,0.0,2021-01-29,13:00:00,8.92,7.04,5.49,8.06,9.62,88,7.2,0.11,0.0,75,light intensity shower rain,1,13.0
62,WEETWOOD_ALES,0.0,2021-01-29,14:00:00,8.73,7.66,6.15,8.08,9.44,93,4.63,0.0,0.0,75,broken clouds,1,14.0
63,WEETWOOD_ALES,0.0,2021-01-29,15:00:00,8.61,7.7,6.24,7.75,9.34,94,4.12,0.0,0.0,75,light intensity shower rain,1,15.0
64,WEETWOOD_ALES,0.0,2021-01-29,16:00:00,8.14,7.39,5.21,7.53,8.79,95,5.14,0.0,0.0,75,broken clouds,1,16.0
65,WEETWOOD_ALES,0.0,2021-01-29,17:00:00,7.55,6.8,5.5,6.97,8.23,95,3.1,0.0,0.0,75,light intensity drizzle rain,1,17.0
66,WEETWOOD_ALES,0.0,2021-01-29,18:00:00,7.16,6.41,4.73,6.33,8.09,95,3.6,0.0,0.0,100,overcast clouds,1,18.0
67,WEETWOOD_ALES,0.0,2021-01-29,19:00:00,6.65,5.91,4.11,5.86,7.59,95,3.6,0.0,0.0,100,light intensity drizzle rain,1,19.0
68,WEETWOOD_ALES,0.0,2021-01-29,20:00:00,5.86,5.12,3.84,4.75,7.12,95,2.6,0.0,0.0,75,broken clouds,1,20.0
69,WEETWOOD_ALES,0.0,2021-01-29,21:00:00,5.56,4.52,1.73,4.66,6.57,93,5.7,0.0,0.0,75,broken clouds,1,21.0
70,WEETWOOD_ALES,0.0,2021-01-29,22:00:00,5.07,4.19,1.61,4.19,6.01,94,4.63,0.0,0.0,100,overcast clouds,1,22.0
71,WEETWOOD_ALES,0.0,2021-01-29,23:00:00,5.41,3.9,0.63,4.81,6.01,90,8.23,0.0,0.0,100,overcast clouds,1,23.0
72,WEETWOOD_ALES,0.0,2021-01-30,00:00:00,5.12,3.77,0.42,4.19,6.01,91,7.72,0.0,0.0,100,overcast clouds,1,0.0
73,WEETWOOD_ALES,0.0,2021-01-30,01:00:00,4.73,3.23,-0.57,3.89,5.46,90,9.3,0.0,0.0,100,overcast clouds,1,1.0
74,WEETWOOD_ALES,0.0,2021-01-30,02:00:00,4.41,2.76,-1.27,3.64,5.0,89,10.3,0.0,0.0,100,overcast clouds,1,2.0
75,WEETWOOD_ALES,0.0,2021-01-30,03:00:00,4.36,2.55,-1.06,3.34,5.0,88,9.3,0.0,0.0,100,overcast clouds,1,3.0
76,WEETWOOD_ALES,0.0,2021-01-30,04:00:00,4.05,1.92,-1.47,3.34,4.74,86,9.3,0.14,0.0,100,light rain,1,4.0
77,WEETWOOD_ALES,0.0,2021-01-30,05:00:00,3.77,1.97,-1.84,3.06,4.44,88,9.3,0.21,0.0,100,light rain,1,5.0
78,WEETWOOD_ALES,0.0,2021-01-30,06:00:00,3.5,1.7,-2.48,2.78,3.87,88,10.3,0.29,0.0,100,light rain,1,6.0
79,WEETWOOD_ALES,0.0,2021-01-30,07:00:00,3.29,1.01,-1.94,2.27,3.74,85,7.7,0.36,0.0,100,moderate rain,1,7.0
80,WEETWOOD_ALES,0.0,2021-01-30,08:00:00,2.8,0.85,-2.59,1.97,3.74,87,7.72,0.37,0.0,100,moderate rain,1,8.0
81,WEETWOOD_ALES,0.0,2021-01-30,09:00:00,2.68,1.05,-3.27,1.88,3.62,89,9.3,0.37,0.0,100,moderate rain,1,9.0
82,WEETWOOD_ALES,0.0,2021-01-30,10:00:00,2.77,1.14,-3.45,1.97,3.62,89,10.3,0.39,0.0,75,moderate rain,1,10.0
83,WEETWOOD_ALES,0.0,2021-01-30,11:00:00,3.37,1.42,-2.51,2.6,3.79,87,9.8,0.33,0.0,75,moderate rain,1,11.0
84,WEETWOOD_ALES,0.0,2021-01-30,12:00:00,3.63,1.18,-2.44,2.78,4.34,84,10.8,0.24,0.0,100,light rain,1,12.0
85,WEETWOOD_ALES,0.0,2021-01-30,13:00:00,3.64,1.03,-2.01,2.99,4.34,83,9.3,0.15,0.0,100,moderate rain,1,13.0
86,WEETWOOD_ALES,0.0,2021-01-30,14:00:00,3.56,0.78,-2.8,2.53,4.34,82,11.83,0.0,0.0,75,broken clouds,1,14.0
87,WEETWOOD_ALES,0.0,2021-01-30,15:00:00,3.81,0.51,-2.2,2.78,4.74,79,10.8,0.0,0.0,100,overcast clouds,1,15.0
88,WEETWOOD_ALES,0.0,2021-01-30,16:00:00,3.6,-0.2,-2.62,2.78,4.44,76,11.32,0.0,0.0,40,scattered clouds,1,16.0
89,WEETWOOD_ALES,0.0,2021-01-30,17:00:00,3.24,-0.51,-2.68,2.53,3.89,76,9.8,0.0,0.0,20,few clouds,1,17.0
90,WEETWOOD_ALES,0.0,2021-01-30,18:00:00,2.98,-0.73,-2.72,1.97,3.75,76,8.8,0.0,0.0,20,few clouds,1,18.0
91,WEETWOOD_ALES,0.0,2021-01-30,19:00:00,2.4,-0.92,-2.49,1.42,3.17,78,6.2,0.0,0.0,0,sky is clear,1,19.0
92,WEETWOOD_ALES,0.0,2021-01-30,20:00:00,2.13,-0.99,-3.26,0.87,2.74,79,7.2,0.0,0.0,0,sky is clear,1,20.0
93,WEETWOOD_ALES,0.0,2021-01-30,21:00:00,1.41,-0.88,-3.98,0.18,2.59,84,6.7,0.0,0.0,0,sky is clear,1,21.0
94,WEETWOOD_ALES,0.0,2021-01-30,22:00:00,0.72,-1.47,-4.09,-0.81,2.19,84,5.14,0.0,0.0,0,sky is clear,1,22.0
